https://www.jalan.net/yad300923/,ぽらりす 新型コロナウイルス感染症対策,３つだけの客室から見る広い景色はまさに北海道！国内トップクラスの満天の星。手作りのデザートアラカルト。人なつこいネコたち、野鳥や動物たち。全館禁煙の小さなペンション。クチコミ好評です！,北海道川上郡弟子屈町字札友内原野５２線３０番地３,jalan,1
https://www.jalan.net/yad323114/,ペンションう～に～,礼文島唯一のペンション。礼文で獲れる魚介類を洋風にアレンジした料理が自慢！オリジナルうーにーグッズはここだけの販売でおみやげにも最適。真心込めたあたたかいおもてなしで、旅の疲れを癒します！,北海道礼文郡礼文町大字香深村字トンナイ６８０番地,jalan,2
https://www.jalan.net/yad395568/,ペンション森のふくろう,2019じゃらんOFTHEYEAR泊まって良かった宿大賞総合、サービス一位受賞。これからも美味しい手作り料理で素敵な思い出をサポートいたします。お客様の一期一会を大切にし心に残る寛ぎを提供します。,北海道河東郡上士幌町糠平温泉,jalan,3
https://www.jalan.net/yad360915/,ワッカＢＢＢ,1日1組限定のプライベート感満載の貸切温泉宿。専用のツリーハウスでの朝食も好評です。温泉は源泉かけ流しの内風呂と貸切専用露天風呂付き。お食事は料理人によるグランピング石窯料理です。,北海道川上郡弟子屈町サワンチサップ５－７,jalan,4
https://www.jalan.net/yad321364/,フンベHOFおおくま,地場の食材を使い、おいしい味に出会ってもらえる料理を提供している。蟹の水槽を持ち、食べる直前にゆでるためその旨さは格別。十勝産和牛もおすすめ。食することの喜びと楽しさを伝えたいのが私の思い。,中川郡池田町利別西町141-8,jalan,5
https://www.jalan.net/yad325730/,旅の宿　ステラ,ラウンジの大窓からは、日の出公園のラベンダーや雄大な十勝岳連峰をご覧頂けます。吹上温泉の帰路、天候が良ければ満点の星空を楽しめます。また地物の野菜を使用した愛妻手作りの料理も楽しめます。,北海道空知郡上富良野町基線北２７号１０５－３,jalan,6
https://www.jalan.net/yad347790/,ペンション　あしたや,富良野市のぶどう畑に隣接する丘の上、四季折々の山の景色や街の灯り、満点の星空が楽しめます。 手作りのテーブルのある木の温もりあふれる広々とした館内で心行くまでのくつろぎを！,北海道富良野市清水山,jalan,7
https://www.jalan.net/yad346967/,きらの宿すばる,摩周湖の伏流水が湧き出る森の中に佇む全５室の温泉宿。天然温泉かけ流しの湯と地場の素材にこだわった一品一品手づくりの料理が魅力。露天風呂からは満天の星空を楽しめる。野鳥を見ながら贅沢なひと時を。,北海道川上郡弟子屈町美留和原野２８６番地,jalan,8
https://www.jalan.net/yad314410/,湯ごもりの宿　アダージョ,山の中にあるあずましい隠れ宿アダージョ。客室に温泉風呂付で心ゆくまで気ままに湯ごもりが楽しめます。,北海道磯谷郡蘭越町字日出５５４－５２,jalan,9
https://www.jalan.net/yad343084/,ペンション　ルポーゼ,こぢんまりとした家庭的なもてなしとニセコ産野菜を中心に北海道の旬の食材にこだわった彩り鮮やかな手作りの食事が評判でリピーターの多い宿。いつでも変わらない雰囲気でくつろげることを心がけています。,北海道虻田郡ニセコ町東山２７－２１,jalan,10
